,tagline
2996,Satan also has one son.
2997,An engaging comedy about a bachelor and three near Mrs.
2998,You don't have to stop partying just because you've stopped breathing.
2999,"In the winter of 1634, an extraordinary man began a perilous journey into the North American wilderness."
3000,It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death.
3001,The last defense. The last hope. The battle for the future of the world has begun.
3002,"If you experienced ""The World According To Garp"" and found it witty, delightful and totally unpredictable, then be happily surprised all over again when you join the fun and games that go on at the...Hotel New Hampshire."
3003,"Zexy, Zany, Zensational !"
3004,"The tenant in room 7 is very small, very twisted and very mad."
3005,Are YOUR parents a burden?
3006,This is not a love story - it's a story about love.
3007,She rocks. She rules. She reigns.
3008,Get ready for a second Rush!
3009,Hatari means Fun! Hatari means Adventure! Hatari means Thrills!
3010,Stake Your Claim To The Musical Goldmine of '69!
3011,He's got to face a gunfight once more to live up to his legend once more. To win just one more time.
3012,At last an adult film to which you can take your children.
3013,When he heard his cry for help it wasn't human
3014,"Faster, funnier and wilder. It'll knock you out."
3015,His terrifying obsession took them to the brink of death and beyond.
3016,Where the only rule is to stay alive.
3017,This Summer It's All About Sticking Together.
3018,Every BODY needs a hero
3019,"Sooner or later she'll see them, then everything will be different."
3020,Sometimes the wrong side of the law is the right place to be.
3021,"4 friends, 2 couples. Twice as much to lie about in the morning."
3022,"A joyride through sex, love, and other activities"
3023,Fear is a place.
3024,563 miles. 9 people. $2 million. 1001 problems!
3025,"Remember to love, surrender to love, and vow to never, never forget"
3026,Life is an adventure. Don't blow it.
3027,Love stings
3028,Hollywood had it coming
3029,Terror is the same on any planet.
3030,Are you game?
3031,"One family struggles for survival, for justice, for freedom."
3032,Sometimes the future is better than it used to be.
3033,A comedy to arouse your appetite.
3034,What’s eating you?
3035,Trust. Seduction. Betrayal.
3036,Crosses Teenage Mutant Ninja Turtles and Home Alone!
3037,"Colt, Rocky and Tum Tum are back for bigger kicks in an all new adventure"
3038,"Tum Tum, Colt and Rocky are back for all new non-stop Ninja action!"
3039,He's not as fast as he used to be... That's what makes him human. He's a bounty hunter... And that's what makes him dangerous.
3040,I warned you not to go out tonight.
3041,A Frightening Comedy
3042,Flesh to touch... Flesh to burn! Don't keep the Wicker Man waiting!
3043,"I Wish I May, I Wish I Might, Become My Sister For A Night!"
3044,As you've never seen it before.
3045,The story of a wanna be who got to be.
3046,"On the Long Island Expressway there are lanes going east, lanes going west, and lanes going straight to hell."
3047,They're back -- in their mummy's arms!
3048,"In the nine months prior to World War II, 10,000 innocent children left behind their families, their homes, their childhood, and took the journey..."
3049,The glass is about to be shattered...
3050,The most important thing in life is showing up
3051,They have forty-five minutes to save the world. They need forty-six.
3052,"In music she found her dream, her love, herself."
3053,"The only thing more dangerous than the line being crossed, is the cop who will cross it."
3054,"In a city of 8 million people, what are the odds the perfect two will meet?"
3055,She was lost from the moment she saw him.
3056,It's not what he knows. It's what he understands.
3057,The Most Highly Acclaimed Horror Phantasy Of Our Time.
3058,IT'S FUN TO BE SCARED BY 13 GHOSTS
3059,Ever See a Four-Sided Triangle?
3060,How dare he make love to me - And not be a married man!
3061,The biggest entertainment ever to rock the screen with laughter!
3062,"...the film version of the stage hit, as the ruthless beauty whose ambition spelt the doom of three men"
3063,"20,000 Laughs Under The Sea!"
3064,The scream you hear may be your own!
3065,You have to see it to believe it!
3066,"On November 13, 1974, Karen Silkwood, an employee of a nuclear facility, left to meet with a reporter from the New York Times. She never got there."
3067,A Way of Life
3068,The stars belong to a new generation.
3069,...I'll never tell.
3070,What if one of life's great mysteries moved in upstairs?
3071,3% Body Fat. 1% Brain Activity.
3072,Life's a trip......
3073,"It was just a joke, just for fun."
3074,His World. His Rules.
3075,Sometimes True Love Can Have More Than One Face.
3076,"Only chance could have thrown them together. Now, nothing can pull them apart."
3077,One man against a cruel system.
3078,The Musical Comedy Smash of the 80's!
3079,When you're young and going nowhere... the Carny looks like a good way out.
3080,...an experience beyond total fear.
3081,Just what we all need! A really good hit!
3082,She was married at 13. She had four kids by the time she was 20. She's been hungry and poor. She's been loved and cheated on. She became a singer because it was the only thing she could do. She became a star because it was the only way she could do it.
3083,If you're really in love... nothing's going to stand in your way
3084,Al Pacino is Cruising for a killer.
3085,A story of love and conflict.
3086,"Two's company, three's a crime."
3087,Unmask the legend
3088,An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive.
3089,Mismatched. Misguided. Unmistakably friends.
3090,It's Elvis!..cooking up a storm!
3091,Detective Harry Callahan. He doesn't break murder cases. He smashes them.
3092,To Life!
3093,"In a life of crime, no one can be trusted... Not even your friend."
3094,"In 1984, Betty Mahmoody's husband took his wife and daughter to meet his family in Iran. He swore they would be safe. They would be happy. They would be free to leave. He lied."
3095,Nice girls don't wear cha-cha heels.
3096,Only the legend will survive.
3097,A Castle Can Only Have One King
3098,One day can make your life; one day can ruin your life. All life is is four or five big days that change everything.
3099,Dreams. What are they? An escape from reality or reality itself?
3100,Change the way you look at the world.
3101,"There are ghosts around us all the time. Most of them don't want to hurt us. But, there are exceptions..."
3102,You can never go too far
3103,"Seen from a distance, it's perfect."
3104,He will do anything to protect his family.
3105,We Scare Because We Care.
3106,Stealing the power of the universes one by one.
3107,Some things can't be erased.
3108,It isn't love that makes the world go round.
3109,Are You A Shallow Guy?
3110,...Fear is the Message!
3111,"When you're down 'n dirty, it all comes out in..."
3112,Let the Magic Begin.
3113,Love is hard.
3114,It's only a flesh wound!
3115,It's not how you play the game. It's how the game plays you.
3116,The living will always be more dangerous than the dead.
3117,A young man. An older woman. Her ex-husband. Things are about to explode...
3118,Jabberwocky: the monster so horrible that people caught the plague to avoid it
3119,People who see FUNNY GIRL are the luckiest people in the world!
3120,The film that was banned for 4 years. Why..?
3121,"Born with the courage of an eagle, the strength of a black tiger, and the power of a god."
3122,Today Her Greatest! For a woman there's always an excuse…
3123,Who dunnit? This time it's Neil Simon who's really dunnit.
3124,Hasn't the weather been strange...could it be a warning?
3125,Luis Buñuel's masterpiece
3126,"When U. S. Bates told his son he could have any present he wanted, he picked the most outrageous gift of all... Jack Brown."
3127,The Latest Fashion In Murder
3128,"If they've really got what it takes, it's going to take everything they've got."
3129,He'll save every one of us!
3130,The dirtiest Harry of them all.
3131,Clint Eastwood is the man in the middle of The Gauntlet
3132,Out of a Time-Rotted Tomb Crawls an Unspeakable Horror!
3133,America wasn't ready...but HE was!
3134,No parents. No teachers. No rules... No mercy.
3135,In any other town they'd be the bad guys...
3136,"""If God could do the things that we can do, he'd be a happy man . . ."""
3137,Dirty Harry is at it again
3138,His only weapon is his will to survive.
3139,Morty Fineman. Artist. Visionary. Madman.
3140,The Hardest Working Man in Show Business
3141,Are you in or out?
3142,"Vladimir Ivanoff walks into a department store to buy blue jeans, walks out with a girl friend, an immigration lawyer and a buddy. His life and theirs will never be the same again."
3143,it's no longer a story for children.
3144,One person can change your life forever.
3145,They served you Breakfast. They gave you Pie. Now we’re gonna stuff your face.
3146,"Forget everything you know, and open your eyes."
3147,Sometimes love isn't enough.
3148,"Family isn’t a word, it’s a sentence."
3149,Once... they made history. Now... they are history.
3150,Mr. Stimpson ran his life and everyone else's by the clock. Then one day at 2:09 and 43 seconds... The clock decided to strike back.
3151,"Journey with Wolff and Niki, an interstellar adventurer and young rebel. On a mission to rescue three stranded women from a planet no one has warned them about. Because no one has ever returned."
3152,They've got their degrees all rolled up.
3153,"He may be small, but he's got a big brain!"
3154,If they lived in the same century they'd be perfect for each other.
3155,One ring to rule them all
3156,Sometimes your life comes into focus one frame at a time.
3157,I need to believe that something extra ordinary is possible...
3158,One of the great ones!
3159,Here is a picture that was marked for greatness before it was ever screened!
3160,Beyond the age of innocence... into the age of awareness
3161,Their dramatic story can now be told!
3162,"We're not rated X for nothin', baby!"
3163,If you've ever been to a wilder party... you're under arrest!
3164,The most electrifying entertainment of our time!
3165,Float like a butterfly and sting like a bee.
3166,Leave No Man Behind.
3167,Tea at four. Dinner at eight. Murder at midnight.
3168,love is all you need
3169,A lifetime of change can happen in a single moment.
3170,You'll never guess what you'll find inside...
3171,A hard cop and a soft dame.
3172,There's only one way to win the girl of your dreams: floor it!
3173,By the time the world's greatest detectives figure out whodunnit... you could die
3174,"Sometimes, life happens by accident."
3175,It's not just a place. It's a state of mind.
3176,The boys are back in town.
3177,BE CAREFUL WHAT YOU WISH FOR... IT JUST MIGHT COME TRUE.
3178,"A wondrous tale of action and suspense, damsels and ogres, dungeons and dragons, questing knights and evil warlocks."
3179,"In the Dark Ages, Magic was a weapon. Love was a mystery. Adventure was everywhere... And Dragons were real."
3180,The most powerful legend of all is back in a new adventure.
3181,The end of mankind as we know it.
3182,Big Oil. Big Money. Big Mystery. Everyone's out to make a killing.
3183,"In the Future, not everyone is who they seem to be."
3184,Get ready for mush hour!
3185,One Cop. One Con. No Mercy.
3186,...The Ultimate Experience
3187,The Mystery. The Life. The Love. The Legend
3188,The far out story of the far west
3189,"In 1966, Dieter Dengler was shot down over Laos, captured, and, down to 85 pounds, escaped."
3190,M*A*S*H Gives A D*A*M*N.
3191,A true story
3192,Prepare for adventure. Count on revenge.
3193,What do you see?
3194,She didn't belong. She was misunderstood. And she would change him forever.
3195,Welcome to Metropolis
3196,From the director of Happiness and Welcome To The Dollhouse.
3197,Welcome to life at the bottom of the food chain.
3198,For anyone who has ever dreamed of running away from it all
3199,When all else fails... cheat.
3200,Fortune can make a man do some pretty fowl things.
3201,The truth is never overrated
3202,What would you do if you lost everything?
3203,Go Ballistic
3204,No bib. No crib. No problem.
3205,Shirley's A Little Swiss Miss In The Loveliest Story of Her Career !
3206,The Chicago Cubs needed a miracle... They got Henry Rowengartner.
3207,A piece of paradise a half block wide and a whole summer long.
3208,Pass the warning.
3209,Dreams change. Friends are forever
3210,"Beyond Courage, Beyond Honor."
3211,Give a father no options and you leave him no choice.
3212,The Classic Continues
3213,Evil has many faces
3214,I took you out of the gutter . . . I can fling you back!
3215,How Lucky Can You Get
3216,Saturday night you have your fling at life...and Sunday morning you face up to it!
3217,"If it was murder, where's the body?"
3218,"In everyone's life there's a ""Summer of '42"""
3219,"Like new, great looking and fully loaded with laughs."
3220,When someone you love dies... are they gone forever?
3221,This time there are no interviews.
3222,"It's Not Just About Football, It's About Pride Inside!"
3223,"A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India."
3224,The coach is waiting for his next beer. The pitcher is waiting for her first bra. The team is waiting for a miracle. Consider the possibilities.
3225,The Bad News Bears are one year older and one year wilder.
3226,A Masterpiece from Czechoslovakia
3227,Easier said than done.
3228,400 U.S paratroopers. 4000 Vietnamese soldiers. 12 000 miles away from home. 1 man led them into battle.
3229,The ability to love. The inability to love... The hunger to love.
3230,Do you believe in humans?
3231,Make every move as if it were your last.
3232,Believe in Yourself and You Can Do Anything!
3233,We are going to eat you!
3234,He's a hilarious hawkshaw... with a case on Dottie!
3235,The things she does to men can end only one way - in murder!
3236,Money can make people do funny things.
3237,The greatest adventure THROUGH all time!
3238,Everybody Needs A Release
3239,And she's out to beat the mob at their own game.
3240,Two brothers locked in deadly combat till the end of time!
3241,For 20 years he's been singing to the country. But he never figured he'd be living his own love songs.
3242,"The most dangerous man in the world. He's about to expose the CIA, the FBI, the KGB...and himself."
3243,His story will make you cry. His music will make you sing. His triumph will make you cheer.
3244,Who lit the fuse that tore Harold's world apart?
3245,"""All the world likes an outlaw. For some damn reason they remember 'em."" - Jesse James"
3246,You'll meet some interesting people and hear some great songs as The Monster Club
3247,You might just die...laughing!
3248,How do you fight a war called madness?
3249,The gates of hell have opened
3250,It's true. People have trouble remembering My Words. Moses had such a bad memory I had to give him tablets.
3251,They came. They thawed. They conquered.
3252,A secret experiment. A deadly virus. A fatal mistake.
3253,Lights. Camera. Aggravation.
3254,"When it comes to love, sometimes she just can't think straight."
3255,Life has its ways of teaching. Life has its ways to confuse us. Life has its ways to move us. Life has its ways to amaze. Life has its ways to hurt us. Life has its ways to heal. Life has its ways to inspire.
3256,He has everything at stake. He can't afford to lose. He's got to make all the right moves.
3257,The man of violence in whose place Christ died
3258,Like Merry Xmas and Happy New Year...They belong together!
3259,You'll Shriek At These Shieks! . . . trying the double - Oh! on Sheikess Dorothy Lamour!
3260,Ready For Fun . . Fight . . or a South Seas Romance . . . ! They find them all on the . . .
3261,"IT'S THAT GLEESOME THREESOME AGAIN! Giving you your worth in mirth! Toping all the fun in ""Road to Singapore!"""
3262,"This school is our home, we think it's worth defending."
3263,alone - at last...
3264,"""Honor thy wife, and everyone else's."""
3265,The legend of lone wolf and cub continues!
3266,The Bandit is back and better than ever!
3267,What we have here is a total lack of respect for the law!
3268,Smokey's Back! And The Bandit is at it again!
3269,Two jailbirds who just want out of the cage.
3270,Faster. Sharper. Deadlier.
3271,You saw the back-stabbing. Now see the final cut.
3272,"The adventure of a lifetime, in a few mere seconds."
3273,"The adventure of a lifetime, in a few mere seconds."
3274,Get ready for an unexpected hit.
3275,Sometimes dreams come back to life.
3276,Perversion at its wicked best!
3277,Life made her an outcast. Love made her an outlaw.
3278,Never have two consenting adults consented to so much.
3279,"Astronomy major Wendell Tvedt has studied galaxies, charted planets and pondered the universe. But in Palm Springs, he'll encounter his first full moon."
3280,Everything you trust. Everything you know. May be a lie...
3281,Don't Graduate. Celebrate.
3282,All for you...
3283,"The husband, the wife...or the bandit?"
3284,Slap Shot out slaps... out swears... out laughs...
3285,"An ambitious lawyer, a desperate father, they had no reason to meet, until today,"
3286,No Soul Is Safe.
3287,A romantic comedy without the sugar.
3288,Some secrets won't stay buried.
3289,In the Interest of Civilization... Conform.
3290,Love is here to stay... so is her family.
3291,The Lonesome Whistle of a Train... bringing the gallows closer to a desperado--the showdown nearer to his captor!
3292,Sentenced to 28 years in prison for a crime he never committed. Only two things can get him out - A lot of money and Charles Bronson!
3293,An average Joe. An adventurous comedy.
3294,Powerful Portrayal of Dignity and Courage
3295,"They were out for blood, and rotten to the core. Now they're back ..."
3296,"Jimmy's finally got a new life. The trouble is, it's somebody else's."
3297,They changed her diapers. She changed their lives.
3298,The only flaw in their plan was her.
3299,Warrior. Legend. King.
3300,Unlock the secret.
3301,Sticky & Square
3302,Evil has an upgrade.
3303,"If you're looking for the truth, you've come to the wrong place."
3304,If You Can't Trust a Car Salesman Who Can You Trust?
3305,A movie felt never so refreshing!
3306,A Comedy about a Soap Opera Writer Who's Typing without a Ribbon
3307,Lenny's Time Has Finally Come!
3308,A Chilling Tale Of Supernatural Evil.
3309,Don't get mad. Get promoted.
3310,"In the night, secrets are stolen"
3311,It's going to be a shot in the dark!
3312,With great power comes great responsibility.
3313,I Could Love You If You'd Let Me
3314,The prickly stage success that convulsed audiences around the world... with all its barbed wit and the sharpest comedy cast of the year!
3315,Creeping!...Crawling!...Crushing!
3316,Innocence has never been so seductive.
3317,"Once they declare war on each other, watch out. You could die laughing."
3318,"Where civilization ends, their journey begins."
3319,A zero will rise.
3320,Where do you go when you've gone too far?
3321,If You're Afraid to Say It... Just See It.
3322,"Warner Bros. sky highest, smile widest, wild and woolliest Western of 'em all!"
3323,The compelling story of a girl's impassioned search for happiness.
3324,"It's Blazing, Blistering Romance . . . in the wide open spaces !"
3325,One ordinary couple. One little white lie.
3326,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.
3327,Everybody Loves Ernest... But Nobody's Quite Sure Who He Really Is.
3328,Clint Eastwood will turn you Every Which Way But Loose
3329,Sherlock Holmes' Most Terrifying Adventure!
3330,Barbara Graham's Last Scream From Gas Chamber...
3331,It Started as a Concert. It Became a Celebration.
3332,Everyone has a limit.
3333,A tough cop. A brilliant killer. An unspeakable crime.
3334,Leader. Hero. Legend.
3335,Ask yourself if you're really happy.
3336,"For $10,000 they break your arms. For $20,000 they break your legs. Axel Freed owes $44,000."
3337,"The World of ""Mountain"" Riviera . . . The Fast Buck . . . The Angry Men . . . The Lonely Women !"
3338,"27,000 nuclear weapons. One is missing."
3339,He's All Action
3340,Amazing companions on an incredible journey...that journeys beyond imagination!
3341,Not for the faint-hearted…
3342,Two Mismatched Partners. One Messed Up Case!
3343,The Secret Is Out.
3344,She'd get out more if it wasn't a felony.
3345,He was the perfect weapon until he became the target.
3346,Get a Clue
3347,Honor Was Their Code.
3348,A pre-histerical comedy!
3349,They saw Paris. They saw France. They saw the Queen in her underpants.
3350,It started in May. In a small town. And every month after that whenever the moon was full... it came back.
3351,Tangled Wires... Whispering of Murder! Tangled Lives... Fighting to Escape!
3352,Two garbagemen who know when something smells funny!
3353,John Ford's New and Finest Picture of the Fighting Cavalry!
3354,He's coming to our galaxy.
3355,The system is perfect until it comes after you.
3356,"Follow Your Heart, Follow The Fence"
3357,Greetings from ...
3358,A Big Problem Calls For a Big Head
3359,"Small town kid, big time right hook."
3360,The World's Favorite Family is Back.
3361,"Think like Mike, Achieve like Mike, Be Like Mike."
3362,Same Planet. New Scum.
3363,Saving the world before bedtime!
3364,His First Big-Screen Adventure!
3365,Fight Fire With Fire
3366,Pray for Michael Sullivan.
3367,"They don't come any wilder than Oscar Wilde's classic comedy of manners, morals and morality!"
3368,John Travolta and Jamie Lee Curtis work up a sweat together!
3369,Survival of the fittest
3370,He is alive!
3371,Do you hate spiders? Do you really hate spiders? Well they don't like you either.
3372,Fate has found its hero.
3373,A Little Goes A Long Way
3374,He's still evil... He's still deadly... and he's still surrounded by frickin' idiots!
3375,The ride of your life.
3376,Films like that can influence the way we see the world
3377,Don't tell anyone.
3378,He can get into any disguise... getting out is another story.
3379,It’s not like they didn’t warn us.
3380,Little Spies. Big Attitudes
3381,It's her last best chance... is she going to take it?
3382,He's a heartbeat away from catching the killer
3383,A New Breed Of Secret Agent.
3384,Share the Ecstacy!
3385,He's teaching the students at Brandel High two words... NO MORE.
3386,"In the not-too-distant future, wars will no longer exist. But there WILL be...The Game"
3387,Action's future has arrived...
3388,"Three Friends, One Passion, No Limits."
3389,The past will connect them. The passion will possess them.
3390,The things that we fear the most have already happened to us...
3391,A star is... created.
3392,Two Enemies ... The Mob ... The Ultimate Showdown.
3393,What happens when the world stops caring?
3394,You will feel the power. Live the adventure. Experience the fantastic.
3395,The mother of all movies.
3396,H.G. Wells Races Through Time To Catch Jack The Ripper!
3397,See what happens when a dirty bum meets the filthy rich.
3398,It's a tough job but somebody's got to do it!
3399,The last site you'll ever see.
3400,His biggest fan just became his worst nightmare.
3401,Organized crime has never been this disorganized!
3402,It rests on 13 acres of earth over the very center of hell...!
3403,My name is Angela. They're going to kill me.
3404,Everyone's gettin' lined up.
3405,Their intentions were honorable. Their methods were criminal.
3406,Rules are made to be broken.
3407,Crimes of passion are not always between lovers.
3408,Insanity is relative.
3409,The wedding picture doesn't always tell the real story.
3410,"Martin just wanted a nice, quiet family vacation. Instead, he got... Captain Ron"
3411,A nice American family. They didn't want to kill. But they didn't want to die.
3412,The Wilcoxes were having some problems around the neighborhood... until the ultimate security system landed in their backyard.
3413,It was the Wanderer's Against The World...
3414,THRILLS! DRAMA! HEART-THROBS!
3415,"Who was that lady I saw you outwit last night? That was no lady...That was 'Mum' Wilberforce, ..."
3416,The men who broke the bank - and lost the cargo!
3417,"Guinness is Back...Working Wonders With Wile, Whimsey and Wit!"
3418,You Are Invited To Participate
3419,"Freedom. Country. Honor. Passion. To save his best friend, one man must risk everything he loves."
3420,It was the perfect plan until she refused to be the perfect victim!
3421,Living in a house full of women can be murder.
3422,Assume the position.
3423,The tunnel led Chihiro to a mysterious town...
3424,"A film about the war crimes of the American diplomat, Henry Kissinger."
3425,Sometimes What You're Looking For Is Right Where You Left It.
3426,Suit up for action!
3427,Real Love Stories Have No Ending
3428,For those who take their action raw.
3429,Fresh Fish. Mixed Vegetables.
3430,Before the Silence.
3431,"When you take justice into your own hands, what are the consequences?"
3432,Five guys. One safe. No brains.
3433,Here's to risks
3434,Nothing Like This Ever On the Screen!
3435,"Paris, 1926...there was nothing more modern."
3436,The Onion Field
3437,"Intimate and thrilling drama of a hero of the headlines... the girl who had his love and shared his life, but dared not question his one secret!"
3438,Who will his bride be tonight?
3439,Something funny is brewing at Elsinore Castle...
3440,GLUB! The Face That Launched A Thousand Torpedoes!
3441,The final act is murder.
3442,Six hundred feet beneath the surface terror runs deep
3443,We all run on instinct
3444,"If you could choose to live forever, would you?"
3445,One nation under the gun.
3446,Where does comedy come from?
3447,A snooty socialite is stranded on a Mediterranean island with a communist sailor.
3448,Watch who you leave behind.
3449,Nice Wheels. Dirty Deals. And One Mean Mother In A Kilt.
3450,"Before you die, you see"
3451,A day without sex is a day wasted.
3452,America is test-driving the future
3453,"2000 cast members, 3 orchestras, 33 rooms, 300 years, ALL IN ONE TAKE"
3454,"In 1935, a New York kid was looking for a hero. He found Dutch Schultz."
3455,"At 4 and 14, they tried to live on"
3456,Evil has finally found a home.
3457,Catch it
3458,Tony Manero knows the old days are over – But nobody's gonna tell him he can't feel that good again
3459,Hard Hat Days And Honky-Tonk Nights.
3460,See him before he sees you
3461,An ancient gold mask with the power to control minds...
3462,"A Fantasy, A Musical, A Place Where Dreams Come True."
3463,Suppose you picked up this morning's newspaper and your life was a front page headline... and everything they said was accurate... but none of it was true.
3464,Murder has a sound all of its own!
3465,A legend of terror isn't a campfire story anymore!
3466,"I lost my job, my house and my Rolls Royce; My family left me...What else can possibly go wrong?"
3467,When they met they heard bells. And that was just round one.
3468,She is 15. He is 17. The Love Every Parent Fears.
3469,When Make Believe Is Just Not Enough!
3470,Banned in 46 Countries!
3471,"In the Supreme Court, there are only eight of them against all of her."
3472,ALIEN was the beginning… Hell Has Just Been Relocated!
3473,"From a place you've never heard of, comes a story you'll never forget."
3474,... there's a little bit of him in all of us.
3475,Nothing Will Prepare You For THE HAND.
3476,Lock the doors... here come the Neighbors
3477,"There's a world on both sides of the rainbow where songs come true and every time it rains, it rains..."
3478,It's exactly what you think it is!
3479,It started as a vacation...
3480,Filmed in ODORAMA
3481,Sea Evil
3482,Do not attempt this at home.
3483,Prepare to be seduced
3484,The naked differences between men and women.
3485,A journey to the dark heart of Hollywood.
3486,Casino Royale is too much for one James Bond!
3487,IT'S A PLOT! ...to make the world die laughing!!
3488,Attitude meets espionage.
3489,Hell hath no fury...
3490,Nothing is more desirable or more deadly than a woman with a secret.
3491,Every moment is another chance.
3492,It's time to stop hiding from the truth.
3493,Hogwarts is back in session.
3494,Lead us not into temptation
3495,Dallas. 1963. The second shooter.
3496,The soul behind the sound.
3497,John Ford's Most Powerful Drama. The Breathtaking Saga of the United States Cavalry! The third installment of John Ford's trilogy...
3498,When all you can hear is your own silence.
3499,A world beyond imagination! Adventure beyond belief!
3500,The Continuing Drama Of Those Left Behind.
3501,Six men. Full moon. No chance.
3502,It All Happens Happily on a Heaven of a Houseboat!
3503,"Return to the Romance, Return to the Adventure..."
3504,"They've Always been REBELS - TODAY, They Become HEROES."
3505,"The passion, the violence, the birth of America's Gilded Age."
3506,On the world's loneliest highway it's not a game - it's murder!
3507,10 Seconds: The Pain Begins. 15 Seconds: You Can't Breathe. 20 Seconds: You Explode.
3508,"If you mess with a cop like Sharky, you better be very tough . . . or very beautiful."
3509,A revealing comedy.
3510,It's the land of hospitality... unless you don't belong there.
3511,The most beautiful woman of our time in the most erotic adventure of all time.
3512,Some of them promised they'd never fall in love.
3513,"Tonight, his take home pay is $410,000... tax free."
3514,This is the sound he created and performed. The rare personal films never before seen by the public. The private moments. The public triumphs. Intimate memories and reflections in his own words.
3515,Two brothers out to save everyone else.  But they couldn't save each other.
3516,He’s never been cooler.
3517,In everyone's life there's that one person who makes all the difference.
3518,The party's back in the 'hood!
3519,It's naughty. It's nice. It's animated.
3520,Fear is a trigger
3521,How far will you go for a second chance?
3522,Find your place in the universe.
3523,Are you afraid of the dark? You should be.
3524,"This woman has just cut, chopped, broken and burned four men beyond recognition… but no jury in America would ever convict her!"
3525,She wants it all...
3526,Dwarfing the mightiest! Towering over the greatest!
3527,Back in therapy
3528,Two worlds collide.
3529,"From the creator of Being John Malkovich, comes the story about the creator of Being John Malkovich."
3530,"In a future where freedom is outlawed, outlaws will become heroes."
3531,The film is a musical epic and it is widely considered as the director's best work with Un Homme et une Femme.
3532,The Germans planned a spectaular match - the prisoners planned a spectacular escape.
3533,An american original.
3534,Too frightened to breathe...
3535,"They share the laughter, the love, the frustration... and the bathroom."
3536,What a present for Christmas
3537,With Burt and Dolly this much fun just couldn't be legal!
3538,You don't have to be crazy to live here...but it helps.
3539,A cup of coffee and a side of dreams.
3540,When a man has murder on his mind be sure you don't fall into a...Deathtrap.
3541,A tasty comedy of bad manners.
3542,Half time is game time
3543,The hottest chick in town just switched bodies with the luckiest loser in the world.
3544,A generation's final journey... begins.
3545,Schmidt Happens
3546,The Story of a Father’s Love That Changed a Nation.
3547,Some are born with luck. Others gamble for it.
3548,A New Power Is Rising.
3549,This life was so close to never happening.
3550,Antwone Fisher is at war... with himself.
3551,America was born in the streets.
3552,Over. Done. Finished. A comedy about love at last glance.
3553,You don't need extraordinary powers to do extraordinary things.
3554,"For a rookie cop, there's one thing more dangerous than uncovering a killer's fantasy. Becoming it."
3555,"An act of love, or an act of murder?"
3556,One simple lie destroyed everything they had.
3557,Fencing is a science. Loving is a passion. Duelling is an obsession.
3558,"He had looks, charm... and killer instincts."
3559,Real badge. Real gun. Fake cop.
3560,There's being a kid. There's being a adult. And then there's that year in between.
3561,"When your Dad's an undertaker, your Mom's in heaven, and your Grandma's got a screw loose...it's good to have a friend who understands you. Even if he is a boy."
3562,These strange creatures still exist in Japan. Probably.
3563,"If this movie doesn’t make your skin crawl, it’s on too tight!"
3564,Beware the triffids... they grow... know... walk... talk... stalk... and kill!
3565,"""O"" is the mistress of all mistresses."
3566,Only the dead have seen the end of war
3567,Life is what happens in between rounds.
3568,The true story of a real fake.
3569,"If You Can't Be Famous, Be Infamous"
3570,The time to hide is over. The time to regret is gone. The time to live is now.
3571,Art + Politics = Power
3572,Music was his passion. Survival was his masterpiece.
3573,Anything Could Happen… Everything Did!
3574,It's No Laughing Matter.
3575,Some things are better left top secret.
3576,Some things are better left top secret.
3577,Welcome to the honeymoon from hell.
3578,Boy meets girl. Boy meets girl's cousin.
3579,He stole the money... And he's not giving it back.
3580,They only look like cops.
3581,"If you run you're dead... if you stay, you're dead again. Period."
3582,In prison they are the law. On the streets they are the power.
3583,"Sex, rap and family values?"
3584,"America is having a love affair with ""A Little Romance"""
3585,"Sun, surf, sand... and the sexy adventure of a lifetime."
3586,He's head over heels and headed straight for trouble!
3587,Evil rises.
3588,There never was a Bogart like this... and here's the reason...
3589,With a Piece in His Hand He Takes on the Man!
3590,Survival of the fastest.
3591,Death is like a boomerang. it keeps coming back
3592,Trust. Betrayal. Deception. In the C.I.A. nothing is what it seems.
3593,"When he talks, women listen."
3594,Be Careful... She Just Might Take Your Heart.
3595,"No Punches Pulled! If you thought ""On The Waterfront"" hit hard... wait till you see this one!"
3596,Their future was menaced by the past
3597,...the most devastating killing machine ever built... his job... steal it!
3598,The boy is on his way to becoming a man. The man is on his way to becoming a legend.
3599,The comedy that puts ZIP into being a teen...
3600,There's Magic in Believing!
3601,Fists and fun fly fast and furious when the Dragon Lord fights to save his nation's treasure
3602,A provocative tale of hidden desire
3603,"Forgive me, Father for I have sinned. I have killed for my Country, I have stolen for my Church, I have loved a Woman, and I am a Priest."
3604,"Never before in the history of human civilization has there been a movie called ""Monty Python Live at the Hollywood Bowl"""
3605,The Francis Coppola classic that audiences never had the chance to see [re-release]
3606,Buckle Your Swash and Jolly Your Roger for the Funniest Rock 'N Rollickin' Adventure Ever!
3607,"It will take you into a surreal world of passion and sexuality, further than most would dare to go."
3608,...and love will never be the same.
3609,Slashing Up Women Was His Pleasure
3610,They didn't want to kill him. They just wanted a story.
3611,Terror Beyond Belief
3612,The Newest and Funniest 'Panther' of them all.
